Date,Total P&L
2020-06-10,-905.4099999999999
2020-06-11,283.53499999997257
2020-06-12,3492.4599999999823
2020-06-15,-1688.1425
2020-06-16,-623.6499999999905
2020-06-17,-2701.205000000009
2020-06-18,1728.207499999991
2020-06-19,-531.6099999999997
2020-06-22,-915.1399999999999
2020-06-23,-538.0850000000273
2020-06-24,1923.2900000000004
2020-06-25,-2006.0949999999818
2020-06-26,-918.165
2020-06-29,-915.6800000000001
2020-06-30,-1894.21
2020-07-01,-785.5149999999821
2020-07-02,-925.6250000000001
2020-07-03,-930.8499999999999
2020-07-06,-935.5899999999997
2020-07-07,-937.9899999999999
2020-07-08,-295.73500000001786
2020-07-09,-937.665
2020-07-10,-938.5250000000001
2020-07-13,-2157.9599999999637
2020-07-14,-343.95499999998174
2020-07-15,-6137.539999999964
2020-07-16,-1013.7749999999824
2020-07-17,103.23499999997239
2020-07-20,-949.0400000000001
2020-07-21,-956.375
2020-07-22,-957.815
2020-07-23,-957.1949999999999
2020-07-24,-956.9749999999999
2020-07-27,-1642.6099999999822
2020-07-28,-851.6750000000184
2020-07-29,-470.73500000001786
2020-07-30,489.35000000000855
2020-07-31,-953.865
2020-08-03,-238.84500000000025
2020-08-04,322.4199999999814
2020-08-05,-1988.990000000018
2020-08-06,-2077.5699999999815
2020-08-07,-958.445
2020-08-10,-964.3000000000001
2020-08-11,-967.725
2020-08-12,-963.0250000000001
2020-08-13,-967.1800000000002
2020-08-14,185.42500000000928
2020-08-17,-961.9399999999999
2020-08-18,-713.5500000000002
2020-08-19,-972.2950000000001
2020-08-20,-965.9500000000002
2020-08-21,-969.645
2020-08-24,-971.8699999999999
2020-08-25,-975.63
2020-08-26,-974.3549999999998
2020-08-27,-980.3899999999999
2020-08-28,-980.71
2020-08-31,7020.900000000038
2020-09-01,-1465.1400000000274
2020-09-02,-974.2649999999999
2020-09-03,-978.9499999999999
2020-09-04,-967.74
2020-09-07,-966.9000000000001
2020-09-08,-966.9249999999998
2020-09-09,-961.9350000000001
2020-09-10,-571.740000000018
2020-09-11,-973.06
2020-09-14,-422.5399999999818
2020-09-15,-973.415
2020-09-16,-976.6900000000003
2020-09-17,-977.3399999999998
2020-09-18,-1978.625
2020-09-21,3509.550000000036
2020-09-22,-1575.465
2020-09-23,-1041.8649999999725
2020-09-24,1270.7249999999822
2020-09-25,-49.625000000018645
2020-09-28,-565.5800000000363
2020-09-29,-963.99
2020-09-30,-960.46
2020-10-01,-967.5649999999998
2020-10-05,-975.535
2020-10-06,-979.8199999999999
2020-10-07,-1305.5099999999911
2020-10-08,-992.4399999999998
2020-10-09,-993.3149999999996
2020-10-12,-1840.1399999999633
2020-10-13,-995.7
2020-10-14,-995.785
2020-10-15,4231.189999999973
2020-10-16,-987.815
2020-10-19,-992.2750000000001
2020-10-20,-992.3649999999998
2020-10-21,-2758.7850000000362
2020-10-22,-995.5999999999999
2020-10-23,-998.25
2020-10-26,-305.35499999999047
2020-10-27,-826.1449999999995
2020-10-28,-143.35000000000036
2020-10-29,-2554.084999999991
2020-10-30,-2958.4000000000005
2020-11-02,-3198.460000000009
2020-11-03,-987.6550000000004
2020-11-04,-992.04
2020-11-05,-1002.4399999999998
2020-11-06,-579.9399999999905
2020-11-09,-1021.2750000000001
2020-11-10,-588.0650000000005
2020-11-11,-5266.914999999982
2020-11-12,-1035.52
2020-11-13,-1031.8649999999998
2020-11-17,-1043.585
2020-11-18,-1043.2299999999996
2020-11-19,-940.9250000000366
2020-11-20,-1040.2399999999998
2020-11-23,-2598.01
2020-11-24,-1049.96
2020-11-25,3305.89
2020-11-26,-6037.900000000018
2020-11-27,-1049.375
2020-12-01,-656.4999999999818
2020-12-02,-3730.0249999999996
2020-12-03,-1058.5750000000003
2020-12-04,-968.3800000000356
2020-12-07,-1063.1599999999999
2020-12-08,-1068.7250000000001
2020-12-09,-1073.2749999999999
2020-12-10,-1073.535
2020-12-11,-3234.384999999982
2020-12-14,-3086.589999999982
2020-12-15,-1075.79
2020-12-16,-1082.6000000000001
2020-12-17,-1084.415
2020-12-18,-1087.325
2020-12-21,6892.230000000009
2020-12-22,-6126.314999999981
2020-12-23,640.3299999999999
2020-12-24,-1083.6750000000002
2020-12-28,-1092.2399999999998
2020-12-29,-1096.7600000000002
2020-12-30,-1097.505
2020-12-31,-1098.065
2021-01-01,-1100.4
2021-01-04,-5521.920000000018
2021-01-05,-386.35000000002765
2021-01-06,-1353.7100000000182
2021-01-07,-1346.3250000000364
2021-01-08,-819.405000000027
2021-01-11,-1120.7799999999997
2021-01-12,-1085.6750000000002
2021-01-13,-1896.375000000009
2021-01-14,-1127.4450000000002
2021-01-15,427.14499999998134
2021-01-18,105.3100000000004
2021-01-19,-859.9750000000095
2021-01-20,-1632.2250000000183
2021-01-21,-1447.875
2021-01-22,1122.2199999999998
2021-01-25,2243.5950000000175
2021-01-27,1850.7449999999903
2021-01-28,-2947.460000000018
2021-01-29,3518.2149999999638
2021-02-01,10020.094999999981
2021-02-02,229.35000000001764
2021-02-03,-1447.3249999999998
2021-02-04,-257.26499999998214
2021-02-05,-2788.515000000009
2021-02-08,-1153.4
2021-02-09,-2121.1100000000006
2021-02-10,-3187.8649999999725
2021-02-11,-1294.000000000009
2021-02-12,-2728.0399999999727
2021-02-15,-1164.225
2021-02-16,-1905.174999999991
2021-02-17,-1163.3600000000004
2021-02-18,-803.6550000000179
2021-02-19,-2432.900000000018
2021-02-22,4770.489999999982
2021-02-23,-4503.9899999999725
2021-02-25,-1156.5
2021-02-26,4821.57
2021-03-01,-1321.9000000000003
2021-03-02,-406.15000000000964
2021-03-03,1225.0100000000093
2021-03-04,-3247.359999999982
2021-03-05,-4040.7099999999728
2021-03-08,-2063.965
2021-03-09,-4404.139999999999
2021-03-10,-1160.0750000000003
2021-03-12,3432.150000000036
2021-03-15,-1554.905000000018
2021-03-16,-1667.7250000000186
2021-03-17,962.2999999999815
2021-03-18,3861.9500000000185
2021-03-19,-6423.59
2021-03-22,-1133.39
2021-03-23,-1139.34
2021-03-24,403.73000000000866
2021-03-25,747.3899999999917
2021-03-26,-1123.445
2021-03-30,1160.4600000000178
2021-03-31,-1137.1749999999997
2021-04-01,-5255.0200000000095
2021-04-05,-1335.7399999999911
2021-04-06,-2407.45
2021-04-07,-1095.360000000036
2021-04-08,-1145.7450000000001
2021-04-09,-1142.32
2021-04-12,2222.9099999999635
2021-04-13,36.20500000001812
2021-04-15,-4829.77500000001
2021-04-16,-1131.25
2021-04-19,-5045.835000000018
2021-04-20,1682.1149999999816
2021-04-22,1871.425000000018
2021-04-23,-3667.0
2021-04-26,-2361.759999999964
2021-04-27,-957.2600000000175
2021-04-28,-701.7300000000087
2021-04-29,-350.89999999999964
2021-04-30,308.525000000036
2021-05-03,1070.2500000000182
2021-05-04,1221.6000000000276
2021-05-05,-1128.87
2021-05-06,-1133.7800000000004
2021-05-07,-1141.6499999999999
2021-05-10,-1146.1
2021-05-11,-1140.0500000000002
2021-05-12,-1274.8899999999906
2021-05-14,-2598.9800000000005
2021-05-17,915.2750000000096
2021-05-18,-1154.645
2021-05-19,-1153.1150000000002
2021-05-20,-115.46500000000015
2021-05-21,727.3950000000091
2021-05-24,-1160.85
2021-05-25,-2238.84
2021-05-26,-1161.7850000000003
2021-05-27,-1165.8450000000003
2021-05-28,-1171.965
2021-05-31,494.03500000000986
2021-06-01,-1180.38
2021-06-02,-1177.9
2021-06-03,-1182.8449999999998
2021-06-04,-1184.8249999999998
2021-06-07,-1185.62
2021-06-08,-1187.3600000000001
2021-06-09,-910.3349999999909
2021-06-10,-1184.2849999999999
2021-06-11,-1190.345
2021-06-14,-5407.979999999982
2021-06-15,-1193.2150000000001
2021-06-16,-1192.03
2021-06-17,-1183.745
2021-06-18,-3084.9299999999907
2021-06-21,1848.7600000000002
2021-06-22,-1190.9350000000002
2021-06-23,-206.63999999996304
2021-06-24,-1186.6949999999997
2021-06-25,-1191.915
2021-06-28,-1194.8500000000001
2021-06-29,-1190.44
